id,darija,eng,darija_ar
1.0,tilmid 3ando 9odourat fna9ad,A student with strong critique skills,تيلميد عاندو قودورات فناقاد
2.0,lmo3alim howa 9alb lislah,The teacher is the heart of reform,لموعاليم هووا قالب ليسلاه
3.0,3lach dol olkarama kayna,Why do countries of dignity exist?,علاش دول أُلكاراما كاينا
4.0,lkarama khasna n9albo 3liha,We must search for dignity,لكاراما خاسنا نقالبو عليها
5.0,lghna onachat kolchi bghah,Everyone desires singing and action,لغنا أُناشات كولشي بغاه
6.0,lbnat labsin tkachat onachtat,Girls wearing tkachat and action,لبنات لابسين تكاشات أُناشتات
7.0,nachat darouri mano,Action is necessary,ناشات داروري مانو
8.0,lmakla sihiya hiya lli kat9awi l3dam,Healthy food is what stregthens bones,لماكلا سيهييا هييا اللي كاتقاوي لعدام
9.0,khasna nsamdo bach nb9aw 3aychin,We must persist so we can stay alive,خاسنا نسامدو باش نبقاو عايشين
10.0,la hayata liman la hayata laho,There is life for those who he who has no life,لا هاياتا ليمان لا هاياتا لاهو
11.0,kan9albo 3la lhoriya,we are looking for freedom,كانقالبو علا لهورييا
12.0,l3osfour kayn fl9afas,The bird exists in the cage,لعسفور أُكاين فلقافاس
13.0,n3ich hora onmout hora,I live free and I die free,نعيش هورا أُنموت هورا
14.0,lghorba s3iba,enstragement is hard,لغوربا سعيبا
15.0,t3ich fblad mn ghir bladak,To live in a land other than your homeland,تعيش فبلاد من غير بلاداك
16.0,kaychofiuk nas ghrib 3lihoum,People see you as a stranger to them,كايشوفيوك ناس غريب عليهوم
17.0,zwin tbda b3id 3lihoum,it's good to start far from them,زوين تبدا بعيد عليهوم
18.0,ihasdouk wakha ma3andak waloo,They envy you even though you have nothing,إهاسدوك واخا ماعانداك والو
19.0,gatlik kandrabha blil,She told you I beat her at night,ڭاتليك كاندرابها بليل
20.0,sdat liha fmha bach mathdarch,She closed her mouth for her so she wouldn't speak,سدات ليها فمها باش ماتهدارش
21.0,dart liha lmokhadir flkas,she gave her drugs in the glass.,دارت ليها لموخادير فلكاس
22.0,df3atha otahat mn drouj,She pushed her and fell down the stairs.,دفعاتها أُتاهات من دروج
23.0,daro group zwin dyal lghna,They formed a nice singing group.,دارو ڭروپ زوين ديال لغنا
24.0,lil kolo ouhiya katfakar,she kept thinking throughout the whole night.,ليل كولو وهييا كاتفاكار
25.0,ma9dratch t9arar wach ghatb9a m3a baha oula m3a khoutha lirbawha,She couldn't decide whether to stay with her father or her siblings who raised her,ماقدراتش تقارار واش غاتبقا معا باها ولا معا خوتها ليرباوها
26.0,houwa bgha i3raf 3la l9arar dialha,He wanted to know about her decision,هووا بغا إعراف علا لقارار ديالها
27.0,mchat 3and lmouhamiya ldar,She went to the lawyer's house.,مشات عاند لموهامييا لدار
28.0,bghat tb9a bouhdha bach tfkar brahtha,She wanted to be alone to think for herself.,بغات تبقا بوهدها باش تفكار براهتها
29.0,khoutha hayrin kaytsnaw imta iwsl lghd,"her siblings are confused ,they are waiting for tomorrow to arrive",خوتها هايرين كايتسناو إمتا إوسل لغد
30.0,houma may9drouch i3ichou bla biha,They can't live without her.,هوما مايقدروش إعيشو بلا بيها
31.0,hiya ghatdi m3aha khouha lmoutawahid ldar,She will take her autistic brother with her to the house.,هييا غاتدي معاها خوها لموتاواهيد لدار
32.0,khouha kan hawal intahar,Her brother tried to commit suicide.,خوها كان هاوال إنتاهار
33.0,galiha khaski twjdi rask,He told her that she needs to prepare herself,ڭاليها خاسكي توجدي راسك
34.0,houma ghaymchiw idirou ijtima3,They will go to hold a meeting,هوما غايمشيو إديرو إجتيماع
35.0,3andou mohakama lyouma,He has a trial today,عاندو موهاكاما ليوما
36.0,ghayhakmou 3lih bsijn lmouaabad,They will sentence him to life imprisonment,غايهاكمو عليه بسيجن لمواباد
37.0,maghaydkhlch lhabs hit 3ta rachwa,He won't enter prison because he gave a bribe,ماغايدخلش لهابس هيت عتا راشوا
38.0,khraj mn lhabs ou9tlou chi wahad,He got out of prison and someone killed him,خراج من لهابس وقتلو شي واهاد
39.0,hta wahad ma3araf chkoun li9tlou,No one knows who killed him.,هتا واهاد ماعاراف شكون ليقتلو
40.0,houwa mojrih oukaystaha9 imout,He is a criminal and deserves to die.,هووا موجريه وكايستاهاق إموت
41.0,mratou katfakar tnta9am,She's thinking of taking revenge.,مراتو كاتفاكار تنتاقام
42.0,bghat tnta9am mn li9tlou rajlha,She wants to avenge her husband's killer.,بغات تنتاقام من ليقتلو راجلها
43.0,ghadir kolchi bach thakak dakchi libghat,She will do everything to achieve what she wants.,غادير كولشي باش تهاكاك داكشي ليبغات
44.0,lbolici khtatf lbnt,The police kidnapped the girl.,لبوليسي ختاتف لبنت
45.0,bgha idiha tchouf khtha,He wants her to see her sister.,بغا إديها تشوف ختها
46.0,khtha mrida bzaf,Her sister is very sick.,ختها مريدا بزاف
47.0,3andha chalal nisfi,She has a half paralysis.,عاندها شالال نيسفي
48.0,mab9atch ghat9dar tmcha,She can no longer walk.,مابقاتش غاتقدار تمشا
49.0,hyatha kamla ghatb9a na3sa flfrach,"Her whole life, she will remain bedridden.",هياتها كاملا غاتبقا ناعسا فلفراش
50.0,khtatfha mn dar bla maychouf hta wahd,She was kidnapped from home without anyone seeing.,ختاتفها من دار بلا مايشوف هتا واهد
51.0,daha ldar bach tb9a m3a khtha,He took her home to stay with her sister.,داها لدار باش تبقا معا ختها
52.0,galt lbabaha bli bghathom kamlin ib9aw bjanbha,She told her father she wants all of them to stay by her side.,ڭالت لباباها بلي بغاتهوم كاملين إبقاو بجانبها
53.0,hiya mabghatch tkhsar hta wahad fihom,She doesn't want to lose anyone of them.,هييا مابغاتش تخسار هتا واهاد فيهوم
54.0,khasinha lflous bach dir 3amaliya lkhtha,She needs money for her sister's surgery.,خاسينها لفلوس باش دير عامالييا لختها
55.0,houma may9droch idiroha hit fo9ara2,They can't do it because they are poor.,هوما مايقدروش إديروها هيت فوقاراء
56.0,houwa ghaydir 3amaliya lkhtha,He will perform surgery on her sister.,هووا غايدير عامالييا لختها
57.0,mn ba3d l3amaliya ghatwli tmchaa,"After the surgery, she will be able to walk.",من باعد لعامالييا غاتولي تمشا
58.0,houwa may9darch irfad liha talab,He can't refuse her request.,هووا مايقدارش إرفاد ليها تالاب
59.0,ma9adarch ikhsrha mn ba3d matlakaha,He can't lose her after he met her.,ماقادارش إخسرها من باعد ماتلاكاها
60.0,lwalida dialou dkhlat lhabs,Her mother was put in prison.,لواليدا ديالو دخلات لهابس
61.0,hiya likant hzat lbnt mn lbit dmha,It was her who took the girl from her mother's house.,هييا ليكانت هزات لبنت من لبيت دمها
62.0,dkhlat lhmam bach tghsal whha,She entered the bathroom to wash herself.,دخلات لهمام باش تغسال وهها
63.0,dkhlat 3liha wahd lhabasa bghat t9tlha,A prison guard entered and tried to kill her.,دخلات عليها واهد لهاباسا بغات تقتلها
64.0,mo matat fl habs bla maychofha hta wahad,She died in prison without anyone seeing.,مو ماتات فل هابس بلا مايشوفها هتا واهاد
65.0,chirir sift chi wahad i9tlha flhabs,Someone was sent to kill her in prison.,شيرير سيفت شي واهاد إقتلها فلهابس
66.0,houwa mazal ma3raf bli mo matat,He still doesn't know that she's dead.,هووا مازال ماعراف بلي مو ماتات
67.0,ila sma3 lkhbar maghadich i9dar isbar,"If he hears the news, he won't be able to bear it.",إلا سماع لخبار ماغاديش إقدار إسبار
68.0,sift sahbo i9alab lih 3la lkhatam,He sent his friend to look for the ring.,سيفت ساهبو إقالاب ليه علا لخاتام
69.0,houwa baghi itzawaj biha,He wants to marry her.,هووا باغي إتزاواج بيها
70.0,bat lbnt maghadich i9bal bih,The girl's father won't agree to it.,بات لبنت ماغاديش إقبال بيه
71.0,houwa fa9ir hiya ghaniya,"He is poor, she is rich.",هووا فاقير هييا غانييا
72.0,maghadich irda khedam 3andou itzawaj b bntou,He won't agree to work for him and marry his daughter.,ماغاديش إردا خدام عاندو إتزاواج ب بنتو
73.0,houwa 3rf bli mo matat ma9darch ithamal,He knows she's not dead and can't handle it.,هووا عرف بلي مو ماتات ماقدارش إتهامال
74.0,ghanmchi ndowach 3and jirana,I will go to borrow some from our neighbors.,غانمشي ندوواش عاند جيرانا
75.0,t9ata3 lma 3la dowar kamal,The water was cut off from the whole neighborhood.,تقاتاع لما علا دووار كامال
76.0,hchamt nmchi ndowach 3andhoum,I'm embarrassed to go borrow from them.,هشامت نمشي ندوواش عاندهوم
77.0,tdwach zwin ikoun fsbah,Morning dew is beautiful.,تدواش زوين إكون فسباه
78.0,tdwach bzzef kaydir tasa9ot cha3r,Excessive dew causes hair to fall out.,تدواش بزّف كايدير تاساقوت شاعر
79.0,dart za3tar lcha3ri bach maytih,I put thyme in my hair to prevent it from falling.,دارت زاعتار لشاعري باش مايتيه
80.0,3lach kadiri l3choub lrasak,Why are you putting grass on your head?,علاش كاديري لعشوب لراساك
81.0,3mtha khdat lbnt mn lirbawha,She put a green mask on her face.,عمتها خدات لبنت من ليرباوها
82.0,kanou mhliyin fiha bhal 3ailtha,Her skin became very soft.,كانو مهلييين فيها بهال عايلتها
83.0,makhasha hta haja m3ahoum,She's allergic to face masks.,ماخاسها هتا حاجة معاهوم
84.0,tzwji u yrj3 lmamak flos li khsrti,Her face turned red and swollen.,تزوجي و يرجع لماماك فلوس لي خسرتي
85.0,lwld rabih bhal wldk,She's trying a new skincare routine.,لولد رابيه بهال ولدك
86.0,t3amli mzyan ra 3ndk ajer,He's looking for a cure for his acne.,تعاملي مزيان را عندك أجر
87.0,siri nti ghadori fiha,He bought a lot of skincare products.,سيري نتي غادوري فيها
88.0,9bl matfkri tkhtari bin zwaj o bin lflous,None of the products worked for him.,قبل ماتفكري تختاري بين زواج أُ بين لفلوس
89.0,chufi had rajl ta3amol dylo kidayr,She's going to the dermatologist tomorrow.,شوفي هاد راجل تاعامول ديلو كيداير
