id,darija,eng,darija_ar
1,tilmid 3ando 9odourat fna9ad,A student with strong critique skills,تيلميد عاندو قودورات فناقاد
2,lmo3alim howa 9alb lislah,The teacher is the heart of reform,لموعاليم هووا قالب ليسلاه
3,3lach dol olkarama kayna,Why do countries of dignity exist?,علاش دول أُلكاراما كاينا
4,lkarama khasna n9albo 3liha,We must search for dignity,لكاراما خاسنا نقالبو عليها
5,lghna onachat kolchi bghah,Everyone desires singing and action,لغنا أُناشات كولشي بغاه
6,lbnat labsin tkachat onachtat,Girls wearing tkachat and action,لبنات لابسين تكاشات أُناشتات
7,nachat darouri mano,Action is necessary,ناشات داروري مانو
8,lmakla sihiya hiya lli kat9awi l3dam,Healthy food is what stregthens bones,لماكلا سيهييا هييا اللي كاتقاوي لعدام
9,khasna nsamdo bach nb9aw 3aychin,We must persist so we can stay alive,خاسنا نسامدو باش نبقاو عايشين
10,la hayata liman la hayata laho,There is life for those who he who has no life,لا هاياتا ليمان لا هاياتا لاهو
11,kan9albo 3la lhoriya,we are looking for freedom,كانقالبو علا لهورييا
12,l3osfour kayn fl9afas,The bird exists in the cage,لعسفور أُكاين فلقافاس
13,n3ich hora onmout hora,I live free and I die free,نعيش هورا أُنموت هورا
14,lghorba s3iba,enstragement is hard,لغوربا سعيبا
15,t3ich fblad mn ghir bladak,To live in a land other than your homeland,تعيش فبلاد من غير بلاداك
16,kaychofiuk nas ghrib 3lihoum,People see you as a stranger to them,كايشوفيوك ناس غريب عليهوم
17,zwin tbda b3id 3lihoum,it's good to start far from them,زوين تبدا بعيد عليهوم
18,ihasdouk wakha ma3andak waloo,They envy you even though you have nothing,إهاسدوك واخا ماعانداك والو
19,gatlik kandrabha blil,She told you I beat her at night,ڭاتليك كاندرابها بليل
20,sdat liha fmha bach mathdarch,She closed her mouth for her so she wouldn't speak,سدات ليها فمها باش ماتهدارش
=====================
21,dart liha lmokhadir flkas,I gave her drugs in the glass.,دارت ليها لموخادير فلكاس
22,df3atha otahat mn drouj,She pushed her and fell down the stairs.,دفعاتها أُتاهات من دروج
23,daro group zwin dyal lghna,They formed a nice singing group.,دارو ڭروپ زوين ديال لغنا
24,lil kolo ouhiya katfakar,"she kept thinking throughout the whole night.",ليل كولو وهييا كاتفاكار
25,ma9dratch t9arar wach ghatb9a m3a baha oula m3a khoutha lirbawha,She couldn't decide whether to stay with her father or her siblings who raised her,ماقدراتش تقارار واش غاتبقا معا باها ولا معا خوتها ليرباوها
26,houwa bgha i3raf 3la l9arar dialha,He wanted to know about her decision,هووا بغا إعراف علا لقارار ديالها
27,mchat 3and lmouhamiya ldar,She went to the lawyer's house.,مشات عاند لموهامييا لدار
